number579
total area 62997.000000
total length 8593.000000
ID area length
230 1257.000000 229.000000
231 20.000000 0.000000
232 22.000000 0.000000
233 1.000000 0.000000
234 35.000000 0.000000
235 32.000000 0.000000
236 231.000000 31.000000
237 1.000000 0.000000
238 113.000000 23.000000
239 38.000000 0.000000
240 337.000000 37.000000
241 78.000000 0.000000
242 33.000000 0.000000
243 24.000000 0.000000
244 22.000000 0.000000
245 146.000000 23.000000
246 28.000000 0.000000
247 392.000000 48.000000
248 257.000000 40.000000
249 32.000000 0.000000
250 1.000000 0.000000
251 35.000000 0.000000
252 3.000000 0.000000
253 24.000000 0.000000
254 1.000000 0.000000
255 1.000000 0.000000
256 120.000000 21.000000
257 831.000000 87.000000
258 2.000000 0.000000
259 21.000000 0.000000
260 22.000000 0.000000
261 14.000000 0.000000
262 1.000000 0.000000
263 122.000000 26.000000
264 1.000000 0.000000
265 40.000000 0.000000
266 1.000000 0.000000
267 260.000000 48.000000
268 277.000000 47.000000
269 56.000000 0.000000
270 1.000000 0.000000
271 32.000000 0.000000
272 25.000000 0.000000
273 20.000000 0.000000
274 107.000000 37.000000
275 22.000000 0.000000
276 1.000000 0.000000
277 9.000000 0.000000
278 10.000000 0.000000
279 2.000000 0.000000
280 2.000000 0.000000
281 4.000000 0.000000
282 20.000000 0.000000
283 212.000000 23.000000
284 1.000000 0.000000
285 3.000000 0.000000
286 3.000000 0.000000
287 1.000000 0.000000
288 27.000000 0.000000
289 20.000000 0.000000
290 4.000000 0.000000
291 2.000000 0.000000
292 3.000000 0.000000
293 3.000000 0.000000
294 1.000000 0.000000
295 20.000000 0.000000
296 42.000000 0.000000
297 129.000000 21.000000
298 39.000000 0.000000
299 21.000000 0.000000
300 1104.000000 172.000000
301 21.000000 0.000000
302 3.000000 0.000000
303 95.000000 23.000000
304 8.000000 0.000000
305 1370.000000 246.000000
306 427.000000 56.000000
307 1.000000 0.000000
308 1.000000 0.000000
309 273.000000 41.000000
310 1.000000 0.000000
311 38.000000 0.000000
312 37.000000 0.000000
313 20.000000 0.000000
314 120.000000 4.000000
315 68.000000 0.000000
316 55.000000 0.000000
317 23.000000 0.000000
318 4.000000 0.000000
319 24.000000 0.000000
320 8.000000 0.000000
321 21.000000 0.000000
322 62.000000 0.000000
323 1.000000 0.000000
324 782.000000 124.000000
325 21.000000 0.000000
326 47.000000 0.000000
327 49.000000 0.000000
328 128.000000 17.000000
329 1.000000 0.000000
330 24.000000 0.000000
331 4.000000 0.000000
332 42.000000 0.000000
333 37.000000 0.000000
334 71.000000 0.000000
335 4.000000 0.000000
336 2474.000000 334.000000
337 22.000000 0.000000
338 1.000000 0.000000
339 1.000000 0.000000
340 60.000000 21.000000
341 25.000000 0.000000
342 2.000000 0.000000
343 22.000000 0.000000
344 29.000000 0.000000
345 31.000000 0.000000
346 2.000000 0.000000
347 29.000000 0.000000
348 128.000000 40.000000
349 63.000000 0.000000
350 1.000000 0.000000
351 1.000000 0.000000
352 4.000000 0.000000
353 1.000000 0.000000
354 21.000000 0.000000
355 80.000000 0.000000
356 160.000000 21.000000
357 2.000000 0.000000
358 192.000000 30.000000
359 1.000000 0.000000
360 38.000000 0.000000
361 1.000000 0.000000
362 140.000000 29.000000
363 26.000000 0.000000
364 2.000000 0.000000
365 1.000000 0.000000
366 75.000000 17.000000
367 3.000000 0.000000
368 110.000000 19.000000
369 27.000000 0.000000
370 4.000000 0.000000
371 16.000000 0.000000
372 89.000000 27.000000
373 1.000000 0.000000
374 21.000000 0.000000
375 233.000000 33.000000
376 1.000000 0.000000
377 1.000000 0.000000
378 9.000000 0.000000
379 51.000000 0.000000
380 4.000000 0.000000
381 1.000000 0.000000
382 1.000000 0.000000
383 1.000000 0.000000
384 13.000000 0.000000
385 71.000000 17.000000
386 106.000000 20.000000
387 287.000000 41.000000
388 1.000000 0.000000
389 36.000000 0.000000
390 609.000000 118.000000
391 1.000000 0.000000
392 21.000000 0.000000
393 53.000000 18.000000
394 1.000000 0.000000
395 68.000000 19.000000
396 2.000000 0.000000
397 1.000000 0.000000
